codigo,dgenerica,despecifica,regimen,tipocalle,direccion,numero,codpostal,localidad,provincia,telefono,fax,latitud,longitud
"03010855","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","OROSIA SILVESTRE","Púb.","PJ","DEL VIADUCTE","1",3801,"ALCOI","Alacant","965549260","965549260",3.86990051e+01,-4.68997985e-01
"03008629","INSTITUTO DE EDUCACIÓN SECUNDARIA","LAS LAGUNAS","Púb.","AV","DE LAS CORTES VALENCIANAS","S/N",3183,"TORREVIEJA","Alacant","965710538","966706196",3.79942207e+01,-6.74350023e-01
"12003328","INSTITUT D'EDUCACIÓ SECUNDÀRIA","LLOMBAI","Púb.","AV","CARDENAL VICENTE ENRIQUE TARANCÓN","7",12530,"BORRIANA","Castelló","964591532","964577120",3.98844986e+01,-7.68499970e-02
"12003717","COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA","SAN VICENTE DE PIEDRAHITA","Púb.","PZ","DE LA IGLESIA","3",12127,"CORTES DE ARENOSO SAN VICENTE DE PIEDRAHITA","Castelló","964738755","964738756",4.01380310e+01,-5.02442002e-01
"46003974","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","SANT ANTONI ABAT","Púb.","CL","SUECA","1",46418,"FORTALENY","València","961701128","961700357",3.91844254e+01,-3.13829005e-01
"46005120","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","BENJAMÍN BENLLOCH","Púb.","CL","TERUEL","2",46940,"MANISES","València","961205240","961205241",3.94947319e+01,-4.56524998e-01
"46005181","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","BLASCO IBÁÑEZ","Púb.","CL","DIPUTACIÓN","S/N",46292,"MASSALAVÉS","València","962440582",,3.91439552e+01,-5.21690011e-01
"46005326","ESCOLA INFANTIL","AUSIÀS MARCH","Púb.","CL","DOCTOR FLEMING","S/N",46470,"MASSANASSA","València","961251011","961255028",3.94146957e+01,-4.02653009e-01
"46005922","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","LLUÍS VIVES","Púb.","PS","JOAN FUSTER","2",46780,"OLIVA","València","962826580","962826581",3.89249954e+01,-1.21739998e-01
"46003275","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","VILLAR PALASÍ","Púb.","CL","XIQUET DE QUART","4",46930,"QUART DE POBLET","València","961545935","961545935",3.94799919e+01,-4.32772011e-01
"12003651","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","ANTIGA PANDEROLA","Púb.","CL","SOLADES","25-2ª",12540,"VILA-REAL","Castelló","964738905","964738906",3.99384346e+01,-9.49150026e-02
"12004916","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","LLIBERTAT","Púb.","PS","MARÍTIM","S/N",12500,"VINARÒS","Castelló","964405615","964405616",4.04693069e+01,4.77593988e-01
"46003652","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","MIGUEL DE CERVANTES","Púb.","AV","DE LA CONSTITUCIÓ","S/N",46950,"XIRIVELLA","València","962566580","962566581",3.94622383e+01,-4.27576005e-01
"46011090","CENTRE DOCENT PRIVAT ESTRANGER","COLEGIO ALEMÁN DE VALENCIA","Priv.","CL","JAIME ROIG","14-16",46010,"VALENCIA","València","963690100","963691043",3.94816284e+01,-3.63815010e-01
"46002751","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","LA DEVESA","Priv.","CL","CAMINO DEPÓSITOS","16",46240,"CARLET","València","962530963","962530963",3.92290192e+01,-5.31817973e-01
"46016968","CENTRE AUTORITZAT D'ENSENYANCES ARTÍSTIQUES PROFESSIONALS DE MÚSICA","INSTITUTO MUSICAL GINER","Priv.","CL","GUILLEM DE CASTRO","73",46008,"VALENCIA","València","963920786","963913267",3.94713783e+01,-3.83987993e-01
"46001291","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","PEPITA GREUS","Púb.","CL","PEPITA GREUS","18",46230,"ALGINET","València","961750552","961759009",3.92626877e+01,-4.74388003e-01
"46015022","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","VICENTE BLASCO IBÁÑEZ","Púb.","CL","DOCTOR JOSÉ ESPERT","S/N",46230,"ALGINET","València","961751457","961759003",3.92572632e+01,-4.71091986e-01
"46002052","COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA","ALBAIT","Púb.","CL","CALVARIO","95",46822,"BOLBAITE","València","962249010","962249011",3.90606232e+01,-6.71914995e-01
"46005053","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","EL CARMEN","Priv.","CL","VALENCIA","37",46940,"MANISES","València","961546937","961522853",3.94869957e+01,-4.50506985e-01
"46005065","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","SAGRADA FAMILIA","Priv.","CL","TERUEL","3",46940,"MANISES","València","961546811","961546891",3.94946518e+01,-4.57156003e-01
"46005648","ESCOLA INFANTIL DE PRIMER CICLE","MUNICIPAL LA RAMBLETA","Púb.","CL","CRUCE C.BARCELONA-CEMENTERI I PLUS ULTRA","S/N",46113,"MONCADA","València","961391914","961395663",3.95481339e+01,-3.95004004e-01
"46006033","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","PUREZA DE MARÍA","Priv.","PD","DE LA SOLANA","S/N",46870,"ONTINYENT","València","962916082","962916305",3.88206367e+01,-6.25608981e-01
"46018503","CENTRE PRIVAT D'EDUCACIÓ INFANTIL","LA GACELA, SL","Priv.","CL","PEÑA","21-23",46980,"PATERNA","València","961382417","961388251",3.94961662e+01,-4.30858999e-01
"46006343","CENTRE PRIVAT D'EDUCACIÓ INFANTIL","MINERVA","Priv.","CL","SAN FRANCISCO DE BORJA","31",46980,"PATERNA","València","961383796","961829957",3.95055923e+01,-4.41462010e-01
"46006422","CENTRE PRIVAT E. PRIMÀRIA I SECUNDÀRIA","ESCUELA PROFESIONAL LA SALLE","Priv.","CL","SAN MARTÍN","56",46980,"PATERNA","València","961383014","961365778",3.95082092e+01,-4.39345986e-01
"46003147","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","SAN ENRIQUE","Priv.","CL","MADRE ASUNCIÓN","6",46930,"QUART DE POBLET","València","961547691","961547691",3.94845428e+01,-4.46920007e-01
"46003172","CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA","SOLVAM","Priv.","CL","CERVANTES","3",46930,"QUART DE POBLET","València","961547793","961547793",3.94828300e+01,-4.40439999e-01
"46006999","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","LAS COLINAS","Priv.","TR","D'ALBAIDA","34",46727,"REAL DE GANDÍA","València","962869891","962869891",3.89496651e+01,-1.95951000e-01
"46019261","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","JAUME I","Púb.","PZ","ESCOLES PIES","1",46701,"GANDIA","València","962865739",,3.89689598e+01,-1.81413993e-01
"46019271","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES",,"Púb.","CL","MANUEL TOMÁS (EDIF.JACARANDA)","2",46110,"GODELLA","València","963642952","963905740",3.95234756e+01,-4.18693006e-01
"46019295","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","ALTS DEL MERCAT","Púb.","CL","PLA DE L'ARC","S/N",46160,"LLÍRIA","València","962798276","962798276",3.96340179e+01,-5.91571987e-01
"46019301","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","MENICIL","Púb.","CL","SANTOS JUSTO Y PASTOR","70",46940,"MANISES","València","961536516","961542941",3.94946098e+01,-4.70535010e-01
"46019325","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","SANT CARLES","Púb.","CL","MAYANS","53",46870,"ONTINYENT","València","962915493","962388139",3.88234100e+01,-6.07959986e-01
"46019337","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES",,"Púb.","GR","DE LA MERCED","S/N",46980,"PATERNA","València","961365071","607084745",3.95021973e+01,-4.37817007e-01
"46019349","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES",,"Púb.","AV","DEL SUD","14",46220,"PICASSENT","València","961232426",,3.93596115e+01,-4.64028001e-01
"46019222","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","ESCOLA D'ADULTS","Púb.","CL","LUIS VIVES","46",46930,"QUART DE POBLET","València","961543104","961543104",3.94823227e+01,-4.54317987e-01
"46019386","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","MIQUEL ROSANES","Púb.","CL","MARE DE DÉU","2",46410,"SUECA","València","961710265","961710265",3.92021141e+01,-3.12332004e-01
"46019398","CENTRO PÚBLICO DE FORMACIÓN DE PERSONAS ADULTAS","LA SERRANÍA","Púb.","AV","RAMÓN VILLANUEVA","15",46177,"TUÉJAR","València","961635126",,3.97665482e+01,-1.04174900e+00
"46019404","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","FONT DE SANT LLUÍS","Púb.","CL","PACO PIERRA","20",46013,"VALENCIA","València","963333422","963730149",3.94500198e+01,-3.67473006e-01
"46019428","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","CENTRO SOCIAL DEL GRAO","Púb.","CL","JOSÉ MARÍA HARO","2",46022,"VALENCIA","València","963559230",,3.94674835e+01,-3.38876009e-01
"03013637","ESCOLA INFANTIL DE PRIMER CICLE","MARÍA ORTS","Púb.","AV","DE LABRADORES","S/N",3204,"ELX","Alacant","966912035","966912036",3.82539520e+01,-7.05689013e-01
"03008496","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","SERVER-MORA","Púb.","CR","DE ALCOI","S/N",3579,"SELLA","Alacant","966870885","966870886",3.86093330e+01,-2.73981988e-01
"03008599","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","SAN LUIS BELTRAN","Púb.","CL","SANTA CRUZ","31",3795,"TORMOS","Alacant","965587206",,3.88027611e+01,-7.05960020e-02
"03000096","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA",,"Púb.","AV","DEL DOCTOR SAPENA","S/N",3569,"AIGÜES","Alacant","965690301","965690301",3.85005722e+01,-3.65123987e-01
"03000163","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","MOSQUERA","Púb.","CL","LES ESCOLES","S/N",3728,"ALCALALÍ","Alacant","966482134",,3.87510338e+01,-4.01309989e-02
"03011033","ESCOLA D'ART I SUPERIOR DE DISSENY",,"Púb.","CL","BARRANC DE NA LLOBA","S/N",3801,"ALCOI","Alacant","966521103","966521148",3.86987495e+01,-4.76586014e-01
"03002950","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","MESTRAL","Púb.","CL","RACONÀ","11",3759,"BENIDOLEIG","Alacant","966409920","966409921",3.87919998e+01,-2.93860007e-02
"03003139","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA",,"Púb.","CL","ESCUELAS","19",3517,"BENIFATO","Alacant","966870865","966870866",3.86733742e+01,-2.29833007e-01
"03003176","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","BENIMANTELL","Púb.","CL","CREUETA","18",3516,"BENIMANTELL","Alacant","965885120","965885120",3.86775169e+01,-2.10878998e-01
"12001691","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","FRANCISCO MONDRAGÓN","Púb.","CL","PRINCIPE FELIPE","80",12528,"ESLIDA","Castelló","964738390","964738391",3.98828545e+01,-3.10025990e-01
"12002208","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA",,"Púb.","PZ","DE LES ESCOLES","S/N",12320,"SANT JORDI","Castelló","964336445","964336446",4.05086441e+01,3.31028014e-01
"12002737","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","SANT MIQUEL","Púb.","CR","LA POBLA","S/N",12192,"VILAFAMÉS","Castelló","964738675","964738676",4.01162682e+01,-4.67559993e-02
"03002895","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","BENICADIM","Púb.","CL","FRONTÓ","1",3778,"BENIARBEIG","Alacant","966428800","966428801",3.88239861e+01,-2.54300004e-03
"03009041","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","HISPANITAT","Púb.","PD","SECANET","92",3570,"VILA JOIOSA (LA)","Alacant","965892143",,3.85172958e+01,-2.18502998e-01
"03010661","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","POBLE NOU","Púb.","AV","JAUME I EL CONQUERIDOR","S/N",3570,"VILA JOIOSA (LA)","Alacant","966870685","966870686",3.85036812e+01,-2.37986997e-01
"03007042","COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA","MANUEL RIQUELME","Púb.","CR","DE BIGASTRO","4",3313,"ORIHUELA HURCHILLO","Alacant","966904280","966904281",3.80595970e+01,-9.20910001e-01
"46019866","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","MESTALLA","Púb.","CL","ERNESTO FERRER","2",46021,"VALENCIA","València","962566680","962566681",3.94718628e+01,-3.56626987e-01
"12000509","CENTRE PRIVAT E. INFANTIL I PRIMÀRIA","NUESTRA SEÑORA DE LA CONSOLACIÓN","Priv.","PZ","MADRE MOLAS","1",12580,"BENICARLÓ","Castelló","964471699","964475064",4.04193039e+01,4.27929997e-01
"12000479","CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE","MAGDALA","Priv.","CL","SANTOS MÁRTIRES","27",12580,"BENICARLÓ","Castelló","964471503",,4.04216118e+01,4.23806012e-01
"12003596","CENTRE PRIVAT D'EDUCACIÓ ESPECIAL","EL CAU","Priv.","CM","DE BORRIOL A LA COSTA","9",12004,"CASTELLÓ DE LA PLANA","Castelló","964200920","964200920",4.00076447e+01,-4.55299988e-02
"12001101","CENTRE PRIVAT D'EDUCACIÓ SECUNDÀRIA","IZQUIERDO-SOROLLA","Priv.","AV","NAVARRA","118",12002,"CASTELLÓ DE LA PLANA","Castelló","964200230","964250176",3.99848557e+01,-4.30440009e-02
"12001009","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","MADRE VEDRUNA SAGRADO CORAZÓN","Priv.","AV","CASALDUCH","25",12005,"CASTELLÓ DE LA PLANA","Castelló","964222762","964222388",3.99800224e+01,-3.77280004e-02
"12003501","CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA","MANON","Priv.","CL","NAVARRA","76",12002,"CASTELLÓ DE LA PLANA","Castelló","964204713",,3.99847755e+01,-4.21539992e-02
"12000947","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","NUESTRA SEÑORA DE LA CONSOLACIÓN","Priv.","AV","DE LIDON","49",12003,"CASTELLÓ DE LA PLANA","Castelló","964220700","964220704",3.99910049e+01,-3.11239995e-02
"12003602","CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE","SAN CRISTÓBAL","Priv.","CL","MONCÓFAR","6",12003,"CASTELLÓ DE LA PLANA","Castelló","964233114","964223008",3.99873810e+01,-2.87529994e-02
"46015231","ESCOLA INFANTIL","NIÑO JESÚS","Púb.","CL","SAN CLEMENTE","13",46015,"VALENCIA","València","963481074",,3.94898605e+01,-4.01654989e-01
"03013352","INSTITUT D'EDUCACIÓ SECUNDÀRIA","HAYGÓN","Púb.","AV","HAYGÓN","50",3690,"SANT VICENT DEL RASPEIG","Alacant","965672875","965672426",3.83831139e+01,-5.02731979e-01
"46006641","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","MARE DE DÉU DE VALLIVANA","Púb.","CL","CARLOS ALBORS","18",46220,"PICASSENT","València","961230445","961221077",3.93650513e+01,-4.61704999e-01
"46007876","COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA","VICENTE ALEIXANDRE","Púb.","CL","V.SANCHEZ Y T.BALAGUER","2",46392,"SIETE AGUAS","València","962339020","962339021",3.94723892e+01,-9.15705979e-01
"46015885","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","PARE CATALÀ","Púb.","CL","PADRE ALEGRE","22",46020,"VALENCIA","València","961205400","961205401",3.94843178e+01,-3.55381995e-01
"46015061","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","VICENTE BLASCO IBÁÑEZ","Púb.","CL","JUAN DE AUSTRIA","24",46960,"ALDAIA","València","962566180","962566181",3.94719315e+01,-4.60631996e-01
"46001606","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","GREGORI MAYANS I CISCAR","Púb.","CL","VICENT ANDRÉS ESTELLÉS","1",46713,"BELLREGUARD","València","962826650","962826651",3.89432487e+01,-1.63764998e-01
"46004164","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","CERVANTES","Púb.","PZ","EXÈRCIT ESPANYOL","7",46701,"GANDIA","València","962826535","962826536",3.89731636e+01,-1.77745000e-01
"46004863","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","SANT MIQUEL","Púb.","CL","DOMEÑO","1",46160,"LLÍRIA","València","962718025","962718026",3.96307640e+01,-6.00986004e-01
"46000821","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","LA SÈNIA","Púb.","CL","SENYERA","3",46690,"ALCÚDIA DE CRESPINS (L')","València","962249760","962249761",3.89716225e+01,-5.94783008e-01
"46005417","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","OLIVERETES","Púb.","CL","PALOMA","2",46711,"MIRAMAR","València","962826560","962826561",3.89520607e+01,-1.40279993e-01
"46005570","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","JAUME I","Púb.","CL","FELIPE BELLVER","39",46920,"MISLATA","València","962566500","962566501",3.94756279e+01,-4.11888003e-01
"46007271","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","ASUNCIÓN DE NUESTRA SEÑORA","Priv.","CL","PRIMER DE MAIG","72",46190,"RIBA-ROJA DE TÚRIA","València","962770660","961653537",3.95425987e+01,-5.66744983e-01
"46007268","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","MARÍA DE ICÍAR","Priv.","PD","DE VALENCIA LA VELLA",,46190,"RIBA-ROJA DE TÚRIA","València","689405091","962770562",3.95308075e+01,-5.38636029e-01
"03000451","CENTRE PRIVAT D'EDUCACIÓ INFANTIL","EL SALVADOR","Priv.","CL","ENTENZA","78",3803,"ALCOI","Alacant","965336867","965336867",3.87039795e+01,-4.77030993e-01
"46007724","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","ADVENTISTA","Priv.","CR","DE PETRES","S/N",46500,"SAGUNT","València","962655757","962650166",3.97023506e+01,-2.82254010e-01
"46007499","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","SAN PEDRO APÓSTOL","Priv.","CL","ALMUDAFER","9",46520,"SAGUNT PUERTO SAGUNTO (EL)","València","962679556","962678048",3.96605110e+01,-2.26431996e-01
"46008649","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","MADRE SACRAMENTO","Priv.","AV","AL VEDAT","188",46900,"TORRENT","València","961551571","961551252",3.94248428e+01,-4.84540999e-01
"46013979","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","SANTA ANA","Priv.","CL","MADRE MARÍA RAFOLS","15",46720,"VILLALONGA","València","962805097","962805097",3.88834953e+01,-2.04432994e-01
"46019121","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","PLEYADE","Priv.","CL","JOAQUIN COSTA","26",46901,"TORRENT MONTE VEDAT","València","961559047","961559049",3.94207077e+01,-4.96989012e-01
"46019210","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","ESCOLA D'ADULTS","Púb.","CL","BONAIRE","1",46740,"CARCAIXENT","València","962434936","962434936",3.91223602e+01,-4.43621010e-01
"46019246","CENTRO PÚBLICO DE FORMACIÓN DE PERSONAS ADULTAS","ESCUELA DE ADULTOS","Púb.","CL","DOCTOR CORACHÁN","31",46370,"CHIVA","València","962521613","962521613",3.94740028e+01,-7.13617980e-01
"46019258","CENTRO PÚBLICO DE FORMACIÓN DE PERSONAS ADULTAS","SIMÓN MONERRIS","Púb.","CL","SAN JAIME","15",46810,"ENGUERA","València","962224166","962224166",3.89766083e+01,-6.87637985e-01
"46019441","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","L'ALGUER","Púb.","CL","JALANCE","14",46022,"VALENCIA","València","963719348","963567053",3.94708366e+01,-3.44031006e-01
"46019416","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","MALVARROSA","Púb.","PZ","CRONISTA FCO. MOMBLANCH","S/N",46011,"VALENCIA","València","963727363",,3.94770317e+01,-3.27416986e-01
"46019453","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","REINA DOÑA GERMANA","Púb.","CL","ESTEBAN DOLZ DEL CASTELLAR","2",46019,"VALENCIA","València","963660982","963688237",3.94949036e+01,-3.66845995e-01
"46019465","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","SANT MARCEL·LÍ","Púb.","CL","INGENIERO JOSÉ SIRERA","20",46017,"VALENCIA","València","963770654",,3.94465179e+01,-3.91398996e-01
"46019477","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","SERRANO MORALES","Púb.","CL","ALBERIQUE","18",46008,"VALENCIA","València","963844010","963922988",3.94679871e+01,-3.88534009e-01
"46019489","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","PARC DE L'OEST","Púb.","CL","SUMACARCEL","S/N",46018,"VALENCIA","València","963837896","963837896",3.94670219e+01,-4.01890993e-01
"03013601","ESCUELA INFANTIL DE PRIMER CICLO","EL MIRADOR","Púb.","CL","SÉNECA","S/N",3600,"ELDA","Alacant","965396273",,3.84788132e+01,-8.04700017e-01
"03013595","ESCUELA INFANTIL DE PRIMER CICLO","EL PUENTE","Púb.","AV","DE LA LIBERTAD","S/N",3600,"ELDA","Alacant","965397447","965397447",3.84880447e+01,-7.93869019e-01
"03009774","ESCUELA INFANTIL DE PRIMER CICLO","SANTA INFANCIA","Púb.","CL","BRUNETE","3",3600,"ELDA","Alacant","965387806",,3.84825516e+01,-7.89834976e-01
"03013625","ESCOLA INFANTIL DE PRIMER CICLE","AITANA","Púb.","CL","ALMANSA (POLÍGONO DE CARRÚS)","S/N",3206,"ELX","Alacant","965441305",,3.82794151e+01,-7.17383981e-01
"03013613","ESCOLA INFANTIL DE PRIMER CICLE","ALBORADA","Púb.","CL","MESTRE MELCHOR BOTELLA","6",3206,"ELX","Alacant","965433131",,3.82787018e+01,-7.13145971e-01
"03010089","ESCOLA INFANTIL","CID CAMPEADOR","Púb.","CL","CASTILLA","53",3610,"PETRER","Alacant","965371069","965371069",3.84839287e+01,-7.84492016e-01
"03011719","COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA","MARTÍN ARTIGOT","Púb.","CL","LAS PALOMAS","S/N",3190,"PILAR DE LA HORADADA","Alacant","966904190","966904191",3.78668098e+01,-7.83783972e-01
"03007765","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","SAN ANTÓN","Púb.","CL","GLORIETA DE SAN ANTONIO","S/N",3650,"PINÓS (EL)","Alacant","965477049","966966007",3.83995018e+01,-1.04260695e+00
"03008137","COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA","JOSÉ MARÍA MANRESA NAVARRO","Púb.","CL","LO PLATERO","3",3177,"SAN FULGENCIO","Alacant","966926705","966926706",3.81165695e+01,-7.17297971e-01
"03010636","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","LO ROMERO","Púb.","CL","RAMON DE CAMPOAMOR","23",3550,"SANT JOAN D'ALACANT","Alacant","965651718","965659142",3.83932533e+01,-4.37736988e-01
"03010651","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","RASPEIG","Púb.","CL","ALMAZARA","63",3690,"SANT VICENT DEL RASPEIG","Alacant","965661308","965675097",3.84063492e+01,-5.26507020e-01
"03010946","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","JUAN RAMÓN JIMÉNEZ","Púb.","CL","DR. MARAÑÓN","22",3690,"SANT VICENT DEL RASPEIG","Alacant","965666077","965666077",3.83896904e+01,-5.20830989e-01
"03008290","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","SANTA ISABEL","Púb.","CO","DE SANTA ISABEL","S/N",3690,"SANT VICENT DEL RASPEIG","Alacant","965663481","965663481",3.83829041e+01,-5.00468016e-01
