codigo,dgenerica,despecifica,dabreviada,regimen,tipocalle,direccion,numero,codpostal,localidad,provincia,telefono,fax,latitud,longitud
46019258,CENTRO PÚBLICO DE FORMACIÓN DE PERSONAS ADULTAS,SIMÓN MONERRIS,CENTRO PÚBLICO FPA SIMÓN MONERRIS,Púb.,CL,SAN JAIME,15,46810,ENGUERA,València,962249340,962249341,"38,97661","-0,687638"
46019261,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES,JAUME I,CENTRE PÚBLIC FPA JAUME I,Púb.,PZ,ESCOLES PIES,7,46701,GANDIA,València,962829470,962829471,"38,96896","-0,181414"
46019271,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES,,CENTRE PÚBLIC FPA,Púb.,CL,MANUEL TOMÁS (EDIF.JACARANDA),2,46110,GODELLA,València,963642952,963905740,"39,52348","-0,418693"
46019295,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES,ALTS DEL MERCAT,CENTRE PÚBLIC FPA ALTS DEL MERCAT,Púb.,CL,PLA DE L'ARC,S/N,46160,LLÍRIA,València,962798276,962798276,"39,63402","-0,591572"
46019301,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES,MENICIL,CENTRE PÚBLIC FPA MENICIL,Púb.,CL,SANTOS JUSTO Y PASTOR,70,46940,MANISES,València,961206910,961206911,"39,49461","-0,470535"
46019325,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES,SANT CARLES,CENTRE PÚBLIC FPA SANT CARLES,Púb.,CL,MAYANS,53,46870,ONTINYENT,València,962919225,962919226,"38,82341","-0,60796"
46019337,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES,,CENTRE PÚBLIC FPA,Púb.,GR,DE LA MERCED,S/N,46980,PATERNA,València,961206760,961206761,"39,50208","-0,43759"
46019349,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES,,CENTRE PÚBLIC FPA,Púb.,AV,DEL SUD,14,46220,PICASSENT,València,961206800,961206801,"39,35961","-0,464028"
46019222,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES,ESCOLA D'ADULTS,CENTRE PÚBLIC FPA ESCOLA D'ADULTS,Púb.,CL,LUIS VIVES,46,46930,QUART DE POBLET,València,961206765,961206766,"39,48232","-0,454318"
46019386,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES,MIQUEL ROSANES,CENTRE PÚBLIC FPA MIQUEL ROSANES,Púb.,CL,MARE DE DÉU,2,46410,SUECA,València,961710265,961710265,"39,20211","-0,312332"
03009774,ESCUELA INFANTIL DE PRIMER CICLO,SANTA INFANCIA,EI 1er CICLO SANTA INFANCIA,Púb.,CL,BRUNETE,3,3600,ELDA,Alacant,966957485,966957486,"38,48259","-0,789981"
03013625,ESCOLA INFANTIL DE PRIMER CICLE,AITANA,EI 1er CICLE AITANA,Púb.,CL,ALMANSA (POLÍGONO DE CARRÚS),S/N,3206,ELX,Alacant,966912040,966912041,"38,27942","-0,717384"
03013613,ESCOLA INFANTIL DE PRIMER CICLE,ALBORADA,EI 1er CICLE ALBORADA,Púb.,CL,MESTRE MELCHOR BOTELLA,6,3206,ELX,Alacant,966912355,966912356,"38,2787","-0,713146"
03013637,ESCOLA INFANTIL DE PRIMER CICLE,MARÍA ORTS,EI 1er CICLE MARÍA ORTS,Púb.,AV,DE LABRADORES,S/N,3204,ELX,Alacant,966912035,966912036,"38,25395","-0,705689"
03008496,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,SERVER-MORA,CEIP SERVER-MORA,Púb.,CR,DE ALCOI,S/N,3579,SELLA,Alacant,966870885,966870886,"38,60933","-0,273982"
03008599,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,SAN LUIS BELTRAN,CEIP SAN LUIS BELTRAN,Púb.,CL,SANTA CRUZ,31,3795,TORMOS,Alacant,966409930,966409931,"38,80276","-0,070596"
03000096,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,,CEIP D'AIGÜES,Púb.,AV,DEL DOCTOR SAPENA,S/N,3569,AIGÜES,Alacant,966908140,966908141,"38,50057","-0,365124"
03000163,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,MOSQUERA,CEIP MOSQUERA,Púb.,CL,LES ESCOLES,S/N,3728,ALCALALÍ,Alacant,965739010,965739011,"38,75103","-0,040131"
03011033,ESCOLA D'ART I SUPERIOR DE DISSENY,,ESCOLA D'ART I SUPERIOR DE DISSENY,Púb.,CL,BARRANC DE NA LLOBA,S/N,3801,ALCOI,Alacant,965533675,965533676,"38,69761","-0,476159"
03002950,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,MESTRAL,CEIP MESTRAL,Púb.,CL,RACONÀ,11,3759,BENIDOLEIG,Alacant,966409920,966409921,"38,79097","-0,029217"
03003139,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,,CEIP DE BENIFATO,Púb.,CL,ESCUELAS,19,3517,BENIFATO,Alacant,966870865,966870866,"38,67337","-0,229833"
03003176,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,BENIMANTELL,CEIP BENIMANTELL,Púb.,CL,CREUETA,18,3516,BENIMANTELL,Alacant,966870870,966870871,"38,67735","-0,210203"
12001691,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,FRANCISCO MONDRAGÓN,CEIP FRANCISCO MONDRAGÓN,Púb.,CL,PRINCIPE FELIPE,80,12528,ESLIDA,Castelló,964738390,964738391,"39,88285","-0,310026"
12002208,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,,CEIP DE SANT JORDI,Púb.,AV,JOSÉ SORIANO RAMOS,S/N,12320,SANT JORDI,Castelló,964336445,964336446,"40,51142","0,336537"
12002737,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,SANT MIQUEL,CEIP SANT MIQUEL,Púb.,CR,LA POBLA,S/N,12192,VILAFAMÉS,Castelló,964738675,964738676,"40,11627","-0,046756"
03002895,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,BENICADIM,CEIP BENICADIM,Púb.,CL,FRONTÓ,1,3778,BENIARBEIG,Alacant,966428800,966428801,"38,82399","-0,002543"
03009041,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,HISPANITAT,CEIP HISPANITAT,Púb.,PD,SECANET,92,3570,VILA JOIOSA (LA),Alacant,965892143,,"38,5173","-0,218503"
03010661,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,POBLE NOU,CEIP POBLE NOU,Púb.,AV,JAUME I EL CONQUERIDOR,S/N,3570,VILA JOIOSA (LA),Alacant,966870685,966870686,"38,50368","-0,237987"
03007042,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,MANUEL RIQUELME,CEIP MANUEL RIQUELME,Púb.,CR,DE BIGASTRO,4,3313,ORIHUELA HURCHILLO,Alacant,966904280,966904281,"38,0596","-0,92091"
46019866,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,MESTALLA,CEIP MESTALLA,Púb.,CL,ERNESTO FERRER,2,46021,VALENCIA,València,962566680,962566681,"39,47186","-0,356627"
12000509,CENTRE PRIVAT E. INFANTIL I PRIMÀRIA,NUESTRA SEÑORA DE LA CONSOLACIÓN,CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN,Priv.,PZ,MADRE MOLAS,1,12580,BENICARLÓ,Castelló,964471699,964475064,"40,4193","0,42793"
12000479,CENTRE PRIVAT D'EDUCACIÓ INFANTIL,MAGDALA,CENTRE PRIV. ED. INFANTIL MAGDALA,Priv.,CL,SANTS MÀRTIRS,27,12580,BENICARLÓ,Castelló,964471503,,"40,42161","0,423806"
12003596,CENTRE PRIVAT D'EDUCACIÓ ESPECIAL,EL CAU,CEE PRIV. EL CAU,Priv.,CM,DE BORRIOL A LA COSTA,9,12004,CASTELLÓ DE LA PLANA,Castelló,964200920,964200920,"40,00764","-0,04553"
12001101,CENTRE PRIVAT D'EDUCACIÓ SECUNDÀRIA,IZQUIERDO-SOROLLA,CENTRE PRIVAT IZQUIERDO-SOROLLA,Priv.,AV,NAVARRA,118,12002,CASTELLÓ DE LA PLANA,Castelló,964200230,964250176,"39,98486","-0,043044"
12001009,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA",MADRE VEDRUNA SAGRADO CORAZÓN,CENTRE PRIVAT MADRE VEDRUNA SAGRADO CORAZÓN,Priv.,AV,CASALDUCH,25,12005,CASTELLÓ DE LA PLANA,Castelló,964222762,964222388,"39,98002","-0,037728"
12003501,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,MANON,CENTRE PRIVAT FP MANON,Priv.,CL,NAVARRA,76,12002,CASTELLÓ DE LA PLANA,Castelló,964204713,,"39,98478","-0,042154"
12000947,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA",NUESTRA SEÑORA DE LA CONSOLACIÓN,CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN,Priv.,AV,VIRGEN DE LIDÓN,49,12004,CASTELLÓ DE LA PLANA,Castelló,964220700,964220704,"39,991","-0,031124"
12003602,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,SAN CRISTÓBAL,CENTRE PRIV. ED. INF. 1er CICLE SAN CRISTÓBAL,Priv.,CL,MONCÓFAR,6,12003,CASTELLÓ DE LA PLANA,Castelló,964233114,964223008,"39,98738","-0,028753"
46015231,ESCOLA INFANTIL,NIÑO JESÚS,EI NIÑO JESÚS,Púb.,CL,SAN CLEMENTE,13,46015,VALENCIA,València,961205855,961205856,"39,48986","-0,401655"
03013352,INSTITUT D'EDUCACIÓ SECUNDÀRIA,HAYGÓN,IES HAYGÓN,Púb.,AV,HAYGÓN,50,3690,SANT VICENT DEL RASPEIG,Alacant,965936575,965936576,"38,38311","-0,502732"
46002052,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,ALBAIT,CEIP ALBAIT,Púb.,CL,CALVARIO,95,46822,BOLBAITE,València,962249010,962249011,"39,06049","-0,672427"
46006641,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,MARE DE DÉU DE VALLIVANA,CEIP MARE DE DÉU DE VALLIVANA,Púb.,CL,CARLOS ALBORS,18,46220,PICASSENT,València,961205760,961205761,"39,36505","-0,461705"
46007876,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,VICENTE ALEIXANDRE,CEIP VICENTE ALEIXANDRE,Púb.,CL,V.SANCHEZ Y T.BALAGUER,2,46392,SIETE AGUAS,València,962339020,962339021,"39,47239","-0,915706"
46015885,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,PARE CATALÀ,CEIP PARE CATALÀ,Púb.,CL,PADRE ALEGRE,22,46020,VALENCIA,València,961205400,961205401,"39,48432","-0,355382"
46015061,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,VICENTE BLASCO IBÁÑEZ,CEIP VICENTE BLASCO IBÁÑEZ,Púb.,CL,JUAN DE AUSTRIA,24,46960,ALDAIA,València,962566180,962566181,"39,47193","-0,460632"
46001606,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,GREGORI MAYANS I CISCAR,CEIP GREGORI MAYANS I CISCAR,Púb.,CL,VICENT ANDRÉS ESTELLÉS,1,46713,BELLREGUARD,València,962826650,962826651,"38,94325","-0,163765"
46004164,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,CERVANTES,CEIP CERVANTES,Púb.,PZ,EXÈRCIT ESPANYOL,7,46701,GANDIA,València,962826535,962826536,"38,97316","-0,177745"
46004863,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,SANT MIQUEL,CEIP SANT MIQUEL,Púb.,CL,DOMEÑO,1,46160,LLÍRIA,València,962718025,962718026,"39,63076","-0,600986"
46000821,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,LA SÈNIA,CEIP LA SÈNIA,Púb.,CL,SENYERA,3,46690,ALCÚDIA DE CRESPINS (L'),València,962249760,962249761,"38,97162","-0,594783"
46005417,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,OLIVERETES,CEIP OLIVERETES,Púb.,CL,PALOMA,2,46711,MIRAMAR,València,962826560,962826561,"38,95206","-0,14028"
46003172,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,SOLVAM,CENTRE PRIVAT FP SOLVAM,Priv.,CL,CERVANTES,3,46930,QUART DE POBLET,València,961547793,961547793,"39,48283","-0,44044"
46006999,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA",LAS COLINAS,CENTRE PRIVAT LAS COLINAS,Priv.,TR,D'ALBAIDA,34,46727,REAL DE GANDÍA,València,962869891,962869891,"38,94967","-0,195951"
46007271,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA",ASUNCIÓN DE NUESTRA SEÑORA,CENTRE PRIVAT ASUNCIÓN DE NUESTRA SEÑORA,Priv.,CL,PRIMER DE MAIG,72,46190,RIBA-ROJA DE TÚRIA,València,962770660,961653537,"39,5426","-0,566745"
46007268,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA",MARÍA DE ICÍAR,CENTRE PRIVAT MARÍA DE ICÍAR,Priv.,PD,DE VALENCIA LA VELLA,,46190,RIBA-ROJA DE TÚRIA,València,689405091,962770562,"39,53081","-0,538636"
03000451,CENTRE PRIVAT D'EDUCACIÓ INFANTIL,EL SALVADOR,CENTRE PRIV. ED. INFANTIL EL SALVADOR,Priv.,CL,ENTENZA,78,3803,ALCOI,Alacant,965336867,965336867,"38,70398","-0,477031"
46007724,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA",ADVENTISTA,CENTRE PRIVAT ADVENTISTA,Priv.,CR,DE PETRES,S/N,46500,SAGUNT,València,962655757,962650166,"39,70235","-0,282254"
46007499,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA",SAN PEDRO APÓSTOL,CENTRE PRIVAT SAN PEDRO APÓSTOL,Priv.,CL,ALMUDAFER,9,46520,SAGUNT PUERTO SAGUNTO (EL),València,962679556,962678048,"39,66051","-0,226432"
46008649,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA",MADRE SACRAMENTO,CENTRE PRIVAT MADRE SACRAMENTO,Priv.,AV,AL VEDAT,188,46900,TORRENT,València,961551571,961551252,"39,42484","-0,484541"
46013979,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA",SANTA ANA,CENTRE PRIVAT SANTA ANA,Priv.,CL,MADRE MARÍA RAFOLS,15,46720,VILALLONGA,València,962805097,962805097,"38,8835","-0,204433"
46019121,"CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA",PLEYADE,CENTRE PRIVAT PLEYADE,Priv.,CL,JOAQUIN COSTA,26,46901,TORRENT MONTE VEDAT,València,961559047,961559049,"39,42071","-0,496989"
46019398,CENTRO PÚBLICO DE FORMACIÓN DE PERSONAS ADULTAS,LA SERRANÍA,CENTRO PÚBLICO FPA LA SERRANÍA,Púb.,AV,RAMÓN VILLANUEVA,15,46177,TUÉJAR,València,962103015,962103016,"39,76655","-1,041749"
46019404,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES,FONT DE SANT LLUÍS,CENTRE PÚBLIC FPA FONT DE SANT LLUÍS,Púb.,CL,PACO PIERRA,20,46013,VALENCIA,València,963333422,963730149,"39,45002","-0,367473"
46019428,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES,CENTRO SOCIAL DEL GRAO,CENTRE PÚBLIC FPA CENTRO SOCIAL DEL GRAO,Púb.,CL,JOSÉ MARÍA HARO,2,46022,VALENCIA,València,963559230,,"39,46748","-0,338876"
46019441,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES,L'ALGUER,CENTRE PÚBLIC FPA L'ALGUER,Púb.,CL,JALANCE,14,46022,VALENCIA,València,961206890,961206891,"39,47084","-0,344031"
46019416,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES,MALVARROSA,CENTRE PÚBLIC FPA MALVARROSA,Púb.,PZ,CRONISTA FCO. MOMBLANCH,S/N,46011,VALENCIA,València,961206775,961206776,"39,47739","-0,327692"
46019453,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES,REINA DOÑA GERMANA,CENTRE PÚBLIC FPA REINA DOÑA GERMANA,Púb.,CL,ESTEBAN DOLZ DEL CASTELLAR,2,46019,VALENCIA,València,961206780,961206781,"39,4949","-0,366846"
